t_s,H,n_kpts,rms_m,source
2687.0,"[[0.0057466984864178285, -0.04893128397084367, 19.690820884737352], [-0.0014519457638597212, 0.028078844790691747, -8.301246823040291], [6.538764814701513e-05, -0.0017118375110553924, 0.9999999999999999]]",7,1.64,model
2688.0,"[[0.005209398302465562, -0.045315371625304635, 18.226826194775256], [-0.0009622911603524761, 0.01739026963535266, -4.348723708138881], [6.612473358690309e-05, -0.0017867432080100323, 1.0]]",7,0.99,model
2689.0,,8,16.56,reject
2690.0,"[[0.0058287569476184594, -0.048526869395683056, 20.747640591888825], [-0.0024074015486002316, 0.03321837987469621, -9.261797726201625], [2.404715203708429e-05, -0.0015504838430020834, 1.0]]",9,1.06,model
2691.0,"[[0.00697663832355357, -0.04993501689469709, 23.167178642913417], [-0.0008444487729204215, 0.03797385293897282, -14.11589712350143], [3.862438926548911e-05, -0.0015964608232568252, 1.0]]",14,0.58,model
2692.0,"[[0.0018233854909338095, -0.04656040973712264, 27.373995760281982], [0.0006071460004886595, 0.028844773483731843, -11.864545254284932], [-9.558242666267726e-05, -0.0015149368368313747, 1.0]]",14,0.7,model
2693.0,,0,,reject
2694.0,,0,,reject
2695.0,,0,,reject
2696.0,,0,,reject
2697.0,,0,,reject
2698.0,,0,,reject
2699.0,,0,,reject
2700.0,,0,,reject
2701.0,,0,,reject
2702.0,,0,,reject
2703.0,,0,,reject
2704.0,,0,,reject
2705.0,,0,,reject
2706.0,,0,,reject
2707.0,,0,,reject
2708.0,,0,,reject
2709.0,,0,,reject
2710.0,,0,,reject
2711.0,,0,,reject
2712.0,,0,,reject
2713.0,"[[0.004158736220355732, -0.04413906133171464, 29.675135626873224], [0.0020179101861963, 0.03546830301921822, -13.624755213950941], [-6.817269693046169e-05, -0.0014549851612566107, 1.0]]",10,0.32,model
2714.0,"[[0.00423873766934829, -0.04388058067930049, 29.289171339492487], [0.0017715622351665613, 0.03516913036283629, -13.415558500128869], [-6.205134340227925e-05, -0.0014488830119359717, 1.0]]",10,0.33,model
2715.0,"[[0.0020799716670937486, -0.04653518787031541, 28.08590966007091], [0.0006922789227067971, 0.02948134103705187, -12.05136332238362], [-9.25087786168041e-05, -0.001503144797630585, 1.0]]",13,0.5,model
2716.0,"[[0.0029816431614172233, -0.04658703534834331, 27.942416309278897], [0.0007052118449174915, 0.03155384911830359, -12.776698897382744], [-7.440827387558662e-05, -0.0015029534098949476, 1.0]]",13,1.29,model
2717.0,"[[0.003213176689767211, -0.047013633091121894, 27.89839971106386], [0.0005453004486108533, 0.031997233194360326, -12.772989971260944], [-6.919919529289869e-05, -0.0015179923206839743, 0.9999999999999999]]",13,1.36,model
2718.0,"[[0.0026817513525349136, -0.04689566807501162, 26.816073399149193], [0.0004923506776963271, 0.029899327636166578, -12.246983290191016], [-7.753658818043587e-05, -0.0015120030349286525, 1.0]]",14,0.43,model
2719.0,"[[0.0031478351661163124, -0.04679245920095472, 26.02143655206975], [0.0002635147692012979, 0.0303229166669324, -12.288547264864453], [-6.552955371299764e-05, -0.001513651757235128, 1.0]]",15,0.39,model
2720.0,"[[0.0032219832426481337, -0.04687249017063522, 26.043280095106766], [0.0002690329723366963, 0.03042062764962451, -12.320163865066236], [-6.3914254325933e-05, -0.0015136712392708983, 1.0]]",15,0.41,model
2721.0,"[[0.004091986412338818, -0.04675089869128578, 24.57723133966532], [0.00014372382599910305, 0.032458436844010986, -12.92483172957595], [-4.5627022121932204e-05, -0.0015319647649692937, 1.0]]",16,0.73,model
2722.0,"[[0.007362341267023316, -0.050509096984014096, 22.92457079925429], [-0.000912847715889012, 0.03920018591081033, -14.46915887244254], [4.679898368162062e-05, -0.0016121554587993935, 1.0]]",14,0.6,model
2723.0,"[[0.006681037905107594, -0.05108144838434141, 22.961260159228384], [-0.001460185479009802, 0.03512423625558514, -11.938703279059094], [4.9748306009972074e-05, -0.001633740021242611, 1.0]]",13,0.57,model
