t_s,period,team,number,name,rx,ry
2607.28,2,HCAP,,,29.4,4.41
2607.28,2,HCAP,,,32.13,0.01
2607.38,2,LHC,25.0,Puur Elliot,25.93,15.03
2607.38,2,LHC,,,18.76,16.24
2607.38,2,HCAP,,,0.91,18.72
2607.38,2,LHC,44.0,Torchio Luca,24.32,6.69
2607.38,2,HCAP,,,20.05,7.97
2607.38,2,LHC,,,9.92,29.21
2607.38,2,HCAP,,,15.06,6.13
2607.38,2,HCAP,,,21.8,11.49
2607.38,2,HCAP,,,28.1,2.34
2607.38,2,HCAP,,,29.22,4.31
2607.48,2,LHC,,,19.0,15.32
2607.48,2,LHC,25.0,Puur Elliot,25.63,15.79
2607.48,2,HCAP,,,0.34,19.34
2607.48,2,LHC,,,8.89,30.82
2607.48,2,LHC,44.0,Torchio Luca,24.15,7.1
2607.48,2,HCAP,,,29.02,4.34
2607.48,2,HCAP,,,19.71,8.44
2607.48,2,HCAP,,,22.23,11.14
2607.48,2,HCAP,,,15.05,6.15
2607.48,2,HCAP,,,6.78,12.39
2607.58,2,LHC,,,19.22,15.0
2607.58,2,LHC,25.0,Puur Elliot,25.4,15.92
2607.58,2,HCAP,,,0.59,19.79
2607.58,2,LHC,44.0,Torchio Luca,24.13,7.19
2607.58,2,LHC,,,8.93,30.6
2607.58,2,HCAP,,,19.75,8.4
2607.58,2,HCAP,,,15.37,6.15
2607.58,2,HCAP,,,28.81,4.32
2607.58,2,HCAP,,,22.71,10.53
2607.58,2,HCAP,,,7.27,12.37
2607.58,2,HCAP,,,32.11,0.06
2607.58,2,HCAP,,,27.99,0.84
2607.68,2,LHC,,,19.31,14.69
2607.68,2,LHC,25.0,Puur Elliot,25.1,16.68
2607.68,2,HCAP,,,-0.09,20.68
2607.68,2,HCAP,,,19.41,9.0
2607.68,2,LHC,44.0,Torchio Luca,24.04,7.37
2607.68,2,HCAP,,,15.41,6.08
2607.68,2,HCAP,,,28.6,4.42
2607.68,2,HCAP,,,27.8,1.27
2607.78,2,LHC,25.0,Puur Elliot,24.88,16.74
2607.78,2,HCAP,,,-0.64,21.35
2607.78,2,LHC,,,19.26,14.87
2607.78,2,HCAP,,,19.24,9.15
2607.78,2,HCAP,,,15.42,6.07
2607.78,2,LHC,44.0,Torchio Luca,23.39,9.54
2607.78,2,HCAP,,,32.04,1.36
2607.88,2,HCAP,,,-0.61,21.38
2607.88,2,LHC,,,19.54,14.12
2607.88,2,LHC,25.0,Puur Elliot,24.79,16.38
2607.88,2,LHC,44.0,Torchio Luca,23.64,8.1
2607.88,2,HCAP,,,19.13,9.02
2607.88,2,HCAP,,,23.57,10.33
2607.88,2,HCAP,,,15.43,6.06
2607.88,2,HCAP,,,28.18,4.51
2607.88,2,HCAP,,,32.24,1.43
2607.98,2,HCAP,,,-0.54,21.37
2607.98,2,LHC,,,19.64,13.94
2607.98,2,LHC,25.0,Puur Elliot,24.6,16.21
2607.98,2,LHC,44.0,Torchio Luca,23.48,8.34
2607.98,2,HCAP,,,18.75,9.62
2607.98,2,HCAP,,,15.43,6.05
2607.98,2,HCAP,,,23.92,9.82
2607.98,2,HCAP,,,28.07,4.06
2608.08,2,HCAP,,,-1.35,22.42
2608.08,2,LHC,25.0,Puur Elliot,24.2,17.21
2608.08,2,LHC,44.0,Torchio Luca,23.31,8.68
2608.08,2,LHC,,,19.68,13.98
2608.08,2,HCAP,,,18.47,10.04
2608.08,2,HCAP,,,24.24,9.39
2608.08,2,HCAP,,,15.45,6.04
2608.08,2,HCAP,,,27.78,4.76
2608.18,2,HCAP,,,-1.98,23.22
2608.18,2,LHC,25.0,Puur Elliot,23.92,17.59
2608.18,2,LHC,44.0,Torchio Luca,23.24,8.66
2608.18,2,HCAP,,,18.22,10.35
2608.18,2,LHC,,,19.92,13.4
2608.18,2,HCAP,,,24.46,9.4
2608.18,2,HCAP,,,15.44,6.09
2608.18,2,HCAP,,,27.64,4.55
2608.18,2,HCAP,,,7.14,12.41
2608.28,2,LHC,25.0,Puur Elliot,23.63,18.07
2608.28,2,LHC,44.0,Torchio Luca,23.07,8.99
2608.28,2,LHC,,,19.99,13.34
2608.28,2,HCAP,,,17.88,10.84
2608.28,2,HCAP,,,24.74,9.02
2608.28,2,HCAP,,,15.41,6.13
2608.28,2,HCAP,,,27.36,4.79
2608.38,2,LHC,,,20.04,13.35
2608.38,2,LHC,44.0,Torchio Luca,22.96,9.11
2608.38,2,LHC,25.0,Puur Elliot,23.45,17.94
2608.38,2,HCAP,,,17.73,10.91
2608.38,2,HCAP,,,25.11,8.36
2608.38,2,HCAP,,,15.42,6.13
2608.38,2,HCAP,,,27.19,4.8
2608.38,2,HCAP,,,7.18,12.36
2608.48,2,LHC,44.0,Torchio Luca,22.92,8.97
2608.48,2,LHC,,,20.22,13.0
2608.48,2,LHC,25.0,Puur Elliot,23.21,18.15
2608.48,2,HCAP,,,27.02,4.83
2608.48,2,HCAP,,,17.27,11.7
2608.48,2,HCAP,,,15.4,6.16
2608.58,2,LHC,,,20.79,12.7
